zona,secao,melhor_urbano,melhor_rural,tse_recente,tse_distribuido,escolas_inep,escolas_municipais,ibge_cnefe_endereco,ibge_cnefe_local,google,google_relaxado,google_centro_geometrico,ibge_povoados,ano
152,383,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), , , , , , ,POINT(-43.3622454 -21.7778547), , , ,2020
152,39,POINT(-43.3469284 -21.7632559),POINT(-43.3469284 -21.7632559), , , , , , ,POINT(-43.3469284 -21.7632559), , , ,2020
152,392,POINT(-43.350267 -21.760333),POINT(-43.350267 -21.760333), , , , , , ,POINT(-43.350267 -21.760333), , , ,2020
152,393,POINT(-43.350267 -21.760333),POINT(-43.350267 -21.760333), , , , , , ,POINT(-43.350267 -21.760333), , , ,2020
152,395,POINT(-43.350267 -21.760333),POINT(-43.350267 -21.760333), , , , , , ,POINT(-43.350267 -21.760333), , , ,2020
152,396,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), , , , , , ,POINT(-43.3534328 -21.7606026), , , ,2020
152,397,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), , , , , , ,POINT(-43.3534328 -21.7606026), , , ,2020
152,398,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), , , , , , ,POINT(-43.3534328 -21.7606026), , , ,2020
152,399,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), , , , , , ,POINT(-43.3534328 -21.7606026), , , ,2020
152,4,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,40, , , , , , , , , , , , ,2020
152,400,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), , , , , , ,POINT(-43.3534328 -21.7606026), , , ,2020
152,401,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), , , , , , ,POINT(-43.3534328 -21.7606026), , , ,2020
152,402,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), , , , , , ,POINT(-43.3534328 -21.7606026), , , ,2020
152,403,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), , , , , , ,POINT(-43.3534328 -21.7606026), , , ,2020
152,404,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), , , , , , ,POINT(-43.3534328 -21.7606026), , , ,2020
152,405,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , ,POINT(-43.3543176 -21.7564042), , , , , , , ,2020
152,406,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , ,POINT(-43.3543176 -21.7564042), , , , , , , ,2020
152,407,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , ,POINT(-43.3543176 -21.7564042), , , , , , , ,2020
152,408,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , ,POINT(-43.3543176 -21.7564042), , , , , , , ,2020
152,409,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , ,POINT(-43.3543176 -21.7564042), , , , , , , ,2020
152,41,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , ,POINT(-43.347193 -21.7654826), , , , , , , ,2020
152,410,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , ,POINT(-43.3543176 -21.7564042), , , , , , , ,2020
152,411,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , ,POINT(-43.3543176 -21.7564042), , , , , , , ,2020
152,412,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , ,POINT(-43.3543176 -21.7564042), , , , , , , ,2020
152,42,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,423,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), , , , , , ,POINT(-43.3472969 -21.7590752), , , ,2020
152,424,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), , , , , , ,POINT(-43.3472969 -21.7590752), , , ,2020
152,425,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), , , , , , ,POINT(-43.3472969 -21.7590752), , , ,2020
152,426,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), , , , , , ,POINT(-43.3472969 -21.7590752), , , ,2020
152,427,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), , , , , , ,POINT(-43.3472969 -21.7590752), , , ,2020
152,428,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), , , , , , ,POINT(-43.3472969 -21.7590752), , , ,2020
152,429,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), , , , , , ,POINT(-43.3472969 -21.7590752), , , ,2020
152,43,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,430,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), , , , , , ,POINT(-43.3472969 -21.7590752), , , ,2020
152,437,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,438,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,439,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,44,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), , , , , , ,POINT(-43.352498 -21.7621496), , , ,2020
152,440,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,441,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,442,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,443,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,444,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,446,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,447,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,448,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,45,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), , , , , , ,POINT(-43.352498 -21.7621496), , , ,2020
152,451,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
