zona,secao,melhor_urbano,melhor_rural,tse_distribuido,google
152,147,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,148,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,149,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,150,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,151,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,152,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,153,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,154,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,155,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,156,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,167,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), ,POINT(-43.355953 -21.768228)
152,168,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), ,POINT(-43.355953 -21.768228)
152,169,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), ,POINT(-43.355953 -21.768228)
152,170,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), ,POINT(-43.355953 -21.768228)
152,171,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), ,POINT(-43.352498 -21.7621496)
152,172,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), ,POINT(-43.352498 -21.7621496)
152,18,POINT(-43.3492852 -21.764553),POINT(-43.3492852 -21.764553), ,POINT(-43.3492852 -21.764553)
152,19,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,2,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,21,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,215,POINT(-43.3895335 -21.7899894),POINT(-43.3895335 -21.7899894), , 
152,216,POINT(-43.3895335 -21.7899894),POINT(-43.3895335 -21.7899894), , 
152,248,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,25,POINT(-43.3492852 -21.764553),POINT(-43.3492852 -21.764553), ,POINT(-43.3492852 -21.764553)
152,250,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), ,POINT(-43.3622454 -21.7778547)
152,257,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,26,POINT(-43.3492852 -21.764553),POINT(-43.3492852 -21.764553), ,POINT(-43.3492852 -21.764553)
152,261,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), ,POINT(-43.3509812 -21.7719805)
152,263,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), ,POINT(-43.3622454 -21.7778547)
152,27,POINT(-43.3492852 -21.764553),POINT(-43.3492852 -21.764553), ,POINT(-43.3492852 -21.764553)
152,270,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), ,POINT(-43.352498 -21.7621496)
152,271,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,272,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,28,POINT(-43.3492852 -21.764553),POINT(-43.3492852 -21.764553), ,POINT(-43.3492852 -21.764553)
152,281,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,286,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), ,POINT(-43.3509812 -21.7719805)
152,289,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
